method,acceleration,center_fraction,acquisition,volumes,MSE,NMSE,PSNR,SSIM
zero_filled,4,0.08,AXT1,72,1.0742895462101387e-09,0.04984565079212189,30.08882280962594,0.8152238213029113
zero_filled,4,0.08,AXT1POST,223,9.331444505988884e-10,0.03946220502257347,30.433290163444596,0.818490604604721
zero_filled,4,0.08,AXT2,586,8.341610735485006e-10,0.05292866379022598,28.775188000778204,0.7873918207835129
zero_filled,4,0.08,AXFLAIR,81,2.2475815653066888e-10,0.03843442723155022,30.37925344503378,0.7821400840402399
zero_filled,4,0.08,ALL,962,8.237677762146234e-10,0.04835587367415428,29.39292998570163,0.7962416567017263
unet,4,0.08,AXT1,72,2.660672793197705e-10,0.012624075636267662,36.16483266276874,0.929727385907131
unet,4,0.08,AXT1POST,223,2.2720121617414435e-10,0.009595991112291813,36.66592166524656,0.9430320200198644
unet,4,0.08,AXT2,586,1.8889670383437362e-10,0.011730281636118889,35.362561497276005,0.9327364612385994
unet,4,0.08,AXFLAIR,81,6.889417508704199e-11,0.01131319347769022,35.71087204142356,0.9078455627863927
unet,4,0.08,ALL,962,1.9344756352346337e-10,0.011267304420471191,35.75406461104824,0.9328020469035976
zero_filled,8,0.04,AXT1,72,2.484208838637869e-09,0.11109928786754608,26.577309851115142,0.716408404225045
zero_filled,8,0.04,AXT1POST,223,2.4718422864111744e-09,0.10061740130186081,26.325512582887704,0.7168155652205135
zero_filled,8,0.04,AXT2,586,1.7988848188821294e-09,0.1148262545466423,25.401173810694072,0.67046858694983
zero_filled,8,0.04,AXFLAIR,81,4.4443684843464837e-10,0.07696830481290817,27.340894205078587,0.6655074634122993
zero_filled,8,0.04,ALL,962,1.892133116854211e-09,0.10806592553853989,25.866794073744625,0.6842328197893708
unet,8,0.04,AXT1,72,5.377996381561445e-10,0.025020049884915352,33.17967507543224,0.9041075871645109
unet,8,0.04,AXT1POST,223,5.088439114508958e-10,0.02147381193935871,33.234683730612865,0.9175363589012326
unet,8,0.04,AXT2,586,3.961991845713442e-10,0.024640964344143867,32.19547981602762,0.9073115488855553
unet,8,0.04,AXFLAIR,81,1.1802914201552994e-10,0.01953553780913353,33.33866220467241,0.8774641607419997
unet,8,0.04,ALL,962,4.09487277419629e-10,0.02350529283285141,32.606293023002536,0.9069288139062943
